分類,名称,所在地,URL,緯度,経度
本庁,本庁,今治市別宮町1-4-1,https://www.city.imabari.ehime.jp/map/map/3-honcho.html,34.0663183,132.997528
本庁,本庁,今治市別宮町1-4-1,https://www.city.imabari.ehime.jp/map/map/3-honcho.html,34.0663183,132.997528
支所,朝倉支所,今治市朝倉北甲397,https://www.city.imabari.ehime.jp/sisho/asakura/,33.995957,133.0192481
支所,玉川支所,今治市玉川町三反地甲10-1,https://www.city.imabari.ehime.jp/sisho/tamagawa/,34.0190877,132.9390622
支所,波方支所,今治市波方町樋口甲253,https://www.city.imabari.ehime.jp/sisho/namikata/,34.0975598,132.9490245
支所,大西支所,今治市大西町宮脇甲506-1,https://www.city.imabari.ehime.jp/sisho/onishi/,34.06041129,132.9251167
支所,菊間支所,今治市菊間町浜840,https://www.city.imabari.ehime.jp/sisho/kikuma/,34.03414929,132.8421092
支所,吉海支所,今治市吉海町八幡137,https://www.city.imabari.ehime.jp/sisho/yoshiumi/,34.1453593,133.0429683
支所,宮窪支所,今治市宮窪町宮窪2668,https://www.city.imabari.ehime.jp/sisho/miyakubo/,34.17297293,133.0756329
支所,伯方支所,今治市伯方町叶浦甲1668-30（伯方開発総合センター内）,https://www.city.imabari.ehime.jp/sisho/hakata/,34.20493481,133.1136247
支所,上浦支所,今治市上浦町井口6605,https://www.city.imabari.ehime.jp/sisho/kamiura/,34.26340217,133.0402148
支所,大三島支所,今治市大三島町宮浦5708,https://www.city.imabari.ehime.jp/sisho/omishima/,34.24917418,132.9957856
支所,関前支所,今治市関前岡村甲732,https://www.city.imabari.ehime.jp/sisho/sekizen/,34.18390928,132.8827383
公民館,中央公民館,今治市南宝来町1-6-1,https://www.city.imabari.ehime.jp/map/map/334-tyuouco.html,34.06219146,132.997745
公民館,今治公民館,今治市北宝来町3-2-9,https://www.city.imabari.ehime.jp/map/map/335-imabarico.html,34.06696485,132.9934058
公民館,美須賀コミュニティプラザ,今治市室屋町1-2-5,https://www.city.imabari.ehime.jp/map/map/336-misukaco.html,34.06793564,133.001774
公民館,日吉公民館,今治市末広町4-6-2,https://www.city.imabari.ehime.jp/map/map/337-hiyosico.html,34.05939592,133.0059046
公民館,別宮公民館,今治市大正町4-2-7,https://www.city.imabari.ehime.jp/map/map/338-bekkuco.html,34.0712914,132.9961786
公民館,常盤公民館,今治市南日吉町2-2-9,https://www.city.imabari.ehime.jp/map/map/339-tokiwaco.html,34.05735733,132.9934541
公民館,近見公民館,今治市湊町1-1-39,https://www.city.imabari.ehime.jp/map/map/340-tikamico.html,34.08601129,132.9895809
公民館,立花カルチャーセンター,今治市郷六ヵ内町2-2-7,https://www.city.imabari.ehime.jp/map/map/341-tatibanaco.html,34.04581674,132.9980108
公民館,鳥生公民館,今治市土橋町1-8-42,https://www.city.imabari.ehime.jp/map/map/342-toriuco.html,34.04909106,133.003928
公民館,城東公民館,今治市東門町4-1-6,https://www.city.imabari.ehime.jp/map/map/343-jyotoco.html,34.0604432,133.0128009
公民館,桜井公民館,今治市桜井3-6-8,https://www.city.imabari.ehime.jp/map/map/344-sakuraico.html,34.01862747,133.0355882
公民館,国分公民館,今治市唐子台東3-23-6,https://www.city.imabari.ehime.jp/map/map/345-kokubuco.html,34.02845881,133.0305209
公民館,富田公民館,今治市上徳甲393-3,https://www.city.imabari.ehime.jp/map/map/346-tomitaco.html,34.03327153,133.0121831
公民館,清水公民館,今治市四村93-2,https://www.city.imabari.ehime.jp/map/map/347-simizuco.html,34.03363373,132.9864539
公民館,日高公民館,今治市小泉4-11-28,https://www.city.imabari.ehime.jp/map/map/348-hidakaco.html,34.047347,132.9795143
公民館,乃万公民館,今治市延喜甲237-5,https://www.city.imabari.ehime.jp/map/map/349-nomaco.html,34.06501152,132.9588308
公民館,波止浜公民館,今治市地堀1-3-47,https://www.city.imabari.ehime.jp/map/map/350-hasihamaco.html,34.10594756,132.9661861
公民館,朝倉公民館,今治市朝倉北甲393,https://www.city.imabari.ehime.jp/map/map/351-asakuraco.html,33.99606594,133.0222631
公民館,波方公民館,今治市波方町樋口甲253,https://www.city.imabari.ehime.jp/map/map/355-namikataco.html,34.09768601,132.9521429
公民館,大西公民館,今治市大西町宮脇甲506-1,https://www.city.imabari.ehime.jp/map/map/422-onisico.html,34.06052968,132.9249995
公民館,吉海学習交流館,今治市吉海町八幡137,https://www.city.imabari.ehime.jp/map/map/428-yosigaku.html,34.14577746,133.0432375
公民館,宮窪公民館,今治市宮窪町宮窪2669,https://www.city.imabari.ehime.jp/map/shisetsu/kominkan_miyakubo.html,34.17307501,133.0759594
公民館,上浦開発総合センター,今治市上浦町井口5931-1,https://www.city.imabari.ehime.jp/map/map/433-kamikai.html,34.26338356,133.0373918
公民館,大三島公民館,今治市大三島町宮浦5708,https://www.city.imabari.ehime.jp/map/map/437-omisimaco.html,34.24891423,132.9952726
公民館,関前開発総合センター,今治市関前岡村甲2-5,https://www.city.imabari.ehime.jp/map/map/441-sekikai.html,34.18426375,132.886127