校区,施設名称,所在地,面積,土砂,洪水計画,洪水最大,高潮,内水既往,内水最大,津波,緯度,経度
吹揚,吹揚小学校運動場,今治市黄金町3丁目3,7037,○,×,×,×,○,○,×,34.06236204,133.0049571
吹揚,旧日吉小学校運動場,今治市南宝来町1丁目6-1,7597,○,○,×,×,×,×,○,34.06195916,132.9984936
吹揚,旧城東小学校運動場,今治市東門町4丁目3-16,7681,○,×,×,×,×,×,×,34.05975583,133.0130718
別宮,別宮小学校運動場,今治市別宮町5丁目1-７,7537,○,○,×,×,○,○,×,34.07110577,132.9921937
別宮,中央体育館駐車場,今治市別宮町6丁目2-2,8140,○,○,×,×,○,○,×,34.0720457,132.9931671
別宮,岡山理科大学今治キャンパスグラウンド,今治市いこいの丘1-3,8200,○,○,○,○,○,○,○,34.06926746,132.980367
常盤,常盤小学校運動場,今治市中日吉町2丁目6-55,11379,○,○,×,○,○,○,○,34.05943429,132.9896695
常盤,日吉中学校運動場,今治市中日吉町1丁目3-70,13239,○,○,×,○,○,○,○,34.06111582,132.9928054
常盤,今治北高等学校運動場,今治市宮下町2丁目2-14,14539,○,○,○,×,×,×,○,34.06575019,132.9887443
常盤,今治西高等学校運動場,今治市中日吉町3丁目5-47,16630,○,○,×,○,○,○,○,34.05770445,132.9869488
常盤,今治南高等学校運動場,今治市常盤町7丁目2-17,13816,○,○,×,○,×,×,○,34.05507973,132.9890347
近見,近見小学校運動場,今治市近見町1丁目5-1,6845,○,○,○,○,○,○,○,34.08964126,132.9855687
近見,近見中学校運動場,今治市近見町4丁目2-57,9522,○,○,○,○,○,○,○,34.08642766,132.9819898
近見,来島海峡サービスエリア管理用駐車場,今治市大浜町２丁目丙５１０－３他,415,○,○,○,○,－,－,○,34.098895,132.980121
立花,立花小学校運動場,今治市立花町4丁目3-45,6874,○,×,×,○,○,○,○,34.04784085,133.0014232
立花,立花中学校運動場,今治市立花町2丁目8-7,10151,○,○,×,○,×,×,○,34.04987612,132.9973384
立花,今治工業高等学校運動場,今治市河南町1丁目1-36,16281,○,○,×,○,○,○,○,34.05163924,132.9956389
鳥生,鳥生小学校運動場,今治市南高下町3丁目3-71,12428,○,×,×,×,○,○,×,34.04854601,133.0133967
桜井,桜井小学校運動場,今治市郷桜井1丁目8-26,9191,○,○,○,×,×,×,○,34.01673348,133.0344838
桜井,桜井中学校運動場,今治市郷桜井1丁目8-8,8499,○,○,○,×,×,×,○,34.0167735,133.0332071
桜井,愛媛中央産業技術専門校運動場,今治市桜井団地4丁目1-1,8690,○,○,○,○,－,－,○,34.02328567,133.0143939
桜井,今治東中等教育学校運動場,今治市桜井2丁目9-1,27100,○,○,○,○,○,○,○,34.02325918,133.0349974
桜井,今治特別支援学校運動場,今治市桜井乙32-313,10800,○,○,○,○,－,－,○,34.01208032,133.0459025
国分,国分小学校運動場,今治市古国分2丁目7-1,10487,○,○,○,○,○,○,○,34.03295594,133.0316272
富田,富田小学校運動場,今治市上徳甲394-4,6685,○,○,○,○,○,○,○,34.03390432,133.0135343
富田,南中学校運動場,今治市松木349-1,7033,○,×,×,○,○,×,○,34.03118338,133.0007841
富田,バリクリーン（今治市クリーンセンター）駐車場,今治市町谷甲394番地,21400,○,○,○,○,○,○,○,34.02088087,132.9986325
清水,清水小学校運動場,今治市五十嵐甲13-3,8678,○,×,×,○,○,○,○,34.03276998,132.9845063
日高,日高小学校運動場,今治市別名446-2,7835,○,○,×,○,○,○,○,34.04569889,132.9762913
日高,イオン今治店駐車場,今治市馬越町4丁目8-1,12000,○,○,×,○,○,○,○,34.05567545,132.9802971
日高,イオンモール今治新都市駐車場,今治市にぎわい広場1番地1,102437,○,○,○,○,○,○,○,34.04411884,132.9621299
乃万,西中学校運動場,今治市山路554-3,9442,○,○,○,○,○,○,○,34.0577964,132.9765594
乃万,乃万小学校運動場,今治市延喜甲349,5042,○,○,○,○,×,×,○,34.06429082,132.957584
乃万,今治明徳短期大学運動場,今治市矢田甲688,9580,○,○,○,○,○,×,○,34.06041874,132.9685231
波止浜,波止浜小学校運動場,今治市地堀1丁目3-40,6742,○,○,○,×,○,×,×,34.10568525,132.9652087
波止浜,北郷中学校運動場,今治市中堀4丁目1-1,12168,○,○,○,×,×,×,○,34.10082728,132.9584227
朝倉,朝倉中学校運動場,今治市朝倉北甲273,16224,○,－,－,○,－,－,○,33.99750343,133.0168547
朝倉,朝倉小学校運動場,今治市朝倉北甲281,3300,○,－,－,○,－,－,○,33.9987184,133.0164324
鴨部,玉川中学校運動場,今治市玉川町高野甲21,7929,×,○,○,○,－,－,○,34.0183735,132.943511
鴨部,鴨部小学校運動場,今治市玉川町中村甲574-1,5065,×,○,○,○,－,－,○,34.0221318,132.9562081
九和,九和小学校運動場,今治市玉川町摺木甲71-1,7131,○,○,○,○,－,－,○,34.02119699,132.9385065
九和,鈍川収蔵庫（旧鈍川小学校運動場）,今治市玉川町鈍川丙226,4168,×,○,○,○,－,－,○,33.98609357,132.957404
九和,玉川総合公園運動場多目的広場,今治市玉川町摺木甲108,15102,×,○,○,○,－,－,○,34.02173087,132.9365953
波方,波方小学校運動場,今治市波方町養老甲803-1,9325,×,－,－,○,×,×,○,34.10458151,132.9460966
波方,波方公園運動場多目的広場,今治市波方町樋口乙730,10700,×,－,－,○,○,○,○,34.10386671,132.9491112
波方,国立波方海上技術短期大学校運動場,今治市波方町波方甲1634-1,3600,×,－,－,○,－,－,○,34.11850675,132.9563856
大西,大西中学校運動場,今治市大西町九王甲 2280-1,11959,○,－,－,×,×,×,×,34.06611779,132.9266747
大西,大西小学校運動場,今治市大西町大井浜103,4558,○,－,－,×,○,○,×,34.06345353,132.9231773
大西,藤山健康文化公園,今治市大西町宮脇乙579-1,11352,○,－,－,○,○,○,○,34.06088394,132.9299738
亀岡,亀岡小学校運動場,今治市菊間町種52,3900,○,－,－,×,－,－,×,34.05480464,132.8732756
菊間,菊間中学校運動場,今治市菊間町浜2628-1,15403,×,－,－,○,－,－,○,34.03201955,132.8524364
菊間,菊間小学校運動場,今治市菊間町長坂2000-1,7114,○,－,－,○,－,－,○,34.03257601,132.8459224
菊間,菊間緑の広場公園運動場多目的広場,今治市菊間町池原1463-2,13553,○,－,－,○,－,－,○,34.03230634,132.862483
吉海,吉海小学校運動場,今治市吉海町八幡157,5481,○,－,－,×,－,－,×,34.14448574,133.0408574
吉海,旧吉海老人福祉センター駐車場,今治市吉海町名1466,400,○,－,－,○,－,－,○,34.13333143,133.04101
吉海,大島バスストップ入口,今治市吉海町仁江678他,1820,○,－,－,○,－,－,○,34.1559867,133.0647012
宮窪,宮窪小学校運動場,今治市宮窪町宮窪4765,5500,×,－,－,○,－,－,○,34.17200372,133.0723354
宮窪,宮窪石文化運動公園野球場,今治市宮窪町宮窪3546,15000,○,－,－,○,－,－,○,34.15936354,133.0696723
宮窪,村上海賊ミュージアム駐車場,今治市宮窪町宮窪1285,3000,○,－,－,○,－,－,○,34.16861794,133.0878728
伯方,伯方中学校運動場,今治市伯方町木浦甲4134-1,14934,×,－,－,○,－,－,○,34.2125951,133.10662
伯方,伯方小学校運動場,今治市伯方町木浦甲3599-2,6400,×,－,－,○,－,－,○,34.20471699,133.1116147
伯方,今治西高等学校伯方分校運動場,今治市伯方町有津甲2358,11723,○,－,－,×,－,－,○,34.20159686,133.1011047
上浦,上浦小学校運動場,今治市上浦町井口4497-1,6260,○,－,－,○,－,－,○,34.26313454,133.0322475
上浦,大三島中学校運動場,今治市上浦町井口5610,17372,○,－,－,×,－,－,○,34.26491811,133.0365342
大三島,大三島小学校運動場,今治市大三島町宮浦5145,6794,×,－,－,×,×,×,○,34.24654608,133.0010881
岡村,岡村小学校運動場,今治市関前岡村甲415,1448,×,－,－,○,－,－,○,34.18778846,132.8832791